OriginalRecipeName: aaa.rcp

TotalStep,RcpType,StepGrpBgn,StepGrpEnd,StepGrpCyc,IdleStopBegin,KeepLastCon,Thickness
7,1,0,0,0,0,0,200.0

StepNum,1,2,3,4,5,6,7
StepName,Pre_heat,Pre_Coating,Depo,Purge-1,Purge-2,Purge-3,Pumping
MainStep,NO,NO,YES,NO,NO,NO,NO
RecipeCycle,1,6,30,1,1,2,1
StagePos,17.0,17.0,17.0,17.0,17.0,17.0,17.0
StgHtrSet1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StgHtrSet2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StgHtrOpt1,0,0,0,0,0,0,0
StgHtrOpt2,0,0,0,0,0,0,0
StgHtrRampSet,5.0,5.0,5.0,5.0,5.0,5.0,5.0
StgHtrRampOp,0,0,0,0,0,0,0
StgHtr2RampSet,5.0,5.0,5.0,5.0,5.0,5.0,5.0
StgHtr2RampOp,0,0,0,0,0,0,0
StgHtrTimeOut,120.0,120.0,120.0,120.0,120.0,120.0,120.0
StepFlowOpt,0,0,0,0,0,0,0
TV-Set,0.0,2.3,2.3,40.0,60.0,100.0,100.0
TV-Opt,5,5,5,0,0,0,0
PrsHi,30.0,10.0,10.0,10.0,10.0,10.0,10.0
PrsLo,10.0,0.0,0.0,0.0,0.0,0.0,0.0
PrsTimeout,5,5,5,5,5,5,5
PrsMonOpt,4,4,4,4,4,4,0
MFCRampOpt,0,0,0,0,0,0,0
RF1_Set,20.0,100.0,300.0,0.0,0.0,0.0,0.0
RF1_Option,0,0,0,0,0,0,0
RF2_Set,0.0,0.0,300.0,0.0,0.0,0.0,0.0
RF2_Option,0,0,0,0,0,0,0
PresetMode,2,2,0,0,0,0,0
PresetSel,2,1,0,0,0,0,0
PresetType,5,0,0,0,0,0,0
Preset2Mode,2,2,0,0,0,0,0
Preset2Sel,2,1,0,0,0,0,0
Preset2Type,6,0,0,0,0,0,0
HeatExg_Set,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HeatExg_Op,0,0,0,0,0,0,0
MFC01_Set[(1)Ar],5000.000,3500.000,3500.000,3500.000,3500.000,3500.000,0.000
MFC02_Set[(2)O2],1000.000,400.000,400.000,400.000,400.000,400.000,0.000
MFC03_Set[(3)Ar],5000.000,1500.000,1500.000,1500.000,1500.000,1500.000,0.000
MFC04_Set[(4)Ar],300.000,500.000,300.000,300.000,300.000,300.000,0.000
MFC05_Set[(5)NF3],0.000,300.000,0.000,0.000,0.000,0.000,0.000
MFC06_Set[(6)Ar],0.000,300.000,0.000,0.000,0.000,0.000,0.000
MFC07_Set[(7)Ar],1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,0.000
MFC08_Set[(8)O2],400.000,500.000,400.000,400.000,400.000,400.000,0.000
MFC09_Set[(9)Ar],3500.000,3500.000,3500.000,3500.000,3500.000,3500.000,0.000
MFC01_Opt[(1)Ar],1,8,8,8,8,8,8
MFC02_Opt[(2)O2],1,8,8,8,8,8,8
MFC03_Opt[(3)Ar],1,8,8,8,8,8,8
MFC04_Opt[(4)Ar],8,8,8,8,8,8,8
MFC05_Opt[(5)NF3],8,8,8,8,8,8,8
MFC06_Opt[(6)Ar],8,8,8,8,8,8,8
MFC07_Opt[(7)Ar],8,8,8,8,8,8,8
MFC08_Opt[(8)O2],8,8,8,8,8,8,8
MFC09_Opt[(9)Ar],8,8,8,8,8,8,8
L01-Time,10.00,1.00,0.12,5.00,5.00,5.00,5.00
L01-V01,1,1,1,1,1,1,0
L01-V02,1,1,1,1,1,1,0
L01-V03,1,1,1,1,1,1,0
L01-V04,1,1,1,1,1,1,0
L01-V05,1,1,1,1,1,1,0
L01-V06,1,1,1,1,1,1,0
L01-V07,0,0,0,0,0,0,0
L01-V08,0,0,0,0,0,0,0
L01-V09,0,0,0,0,0,0,0
L01-V10,0,0,0,0,0,0,0
L01-V11,0,0,0,0,0,0,0
L01-V12,1,1,1,1,1,1,0
L01-V13,0,1,1,0,0,0,0
L01-V14,0,0,0,0,0,0,0
L01-V15,0,1,1,0,0,0,0
L01-V16,0,0,0,0,0,0,0
L01-V17,1,1,1,1,1,1,0
L01-V18,0,0,0,0,0,0,0
L01-V19,1,0,0,1,1,1,0
L01-V20,1,1,1,1,1,1,0
L01-V21,1,1,1,1,1,1,0
L01-V22,1,1,1,1,1,1,0
L01-V23,1,1,0,1,1,1,0
L01-V24,1,1,0,0,0,0,0
L01-V25,0,0,0,0,0,0,0
L01-V26,0,0,0,0,0,0,0
L01-V27,0,0,0,0,0,0,0
L01-V28,0,0,0,0,0,0,0
L01-V29,0,0,0,0,0,0,0
L01-V30,0,0,0,0,0,0,0
L01-V31,0,0,0,0,0,0,0
L01-V32,0,0,0,0,0,0,0
L01-V33,0,0,0,0,0,0,0
L01-V34,0,0,0,0,0,0,0
L01-V35,0,0,0,0,0,0,0
L01-V36,0,0,0,0,0,0,0
L01-V37,0,0,0,0,0,0,0
L01-V38,0,0,0,0,0,0,0
L01-V39,0,0,0,0,0,0,0
L01-V40,0,0,0,0,0,0,0
L01-V41,0,0,0,0,0,0,0
L01-V42,0,0,0,0,0,0,0
L01-V43,0,0,0,0,0,0,0
L01-V44,0,0,0,0,0,0,0
L01-V45,0,0,0,0,0,0,0
L01-V46,0,0,0,0,0,0,0
L01-V47,0,0,0,0,0,0,0
L01-V48,0,0,0,0,0,0,0
L01-V49,1,1,1,1,1,1,0
L01-V50,1,1,1,1,1,1,0
L01-V51,0,0,0,0,0,0,0
L01-V52,0,0,0,0,0,0,0
L01-V53,0,0,0,0,0,0,0
L01-V54,0,0,0,0,0,0,0
L01-V55,0,0,0,0,0,0,0
L01-V56,1,1,1,1,1,1,0
L01-V57,1,1,1,1,1,1,0
L01-V58,1,1,1,1,1,1,0
L01-V59,1,1,1,1,1,1,0
L01-V60,1,1,1,1,1,1,0
L01-V61,1,1,1,1,1,1,0
L01-V62,1,1,1,1,1,1,0
L01-V63,1,1,1,1,1,1,0
L01-V64,1,1,1,1,1,1,0
L01-V65,1,1,0,1,1,1,0
L01-V66,1,1,0,0,0,0,0
L01-V67,0,0,0,0,0,0,0
L01-V68,0,0,0,0,0,0,0
L01-V69,0,0,0,0,0,0,0
L01-V70,1,1,0,1,1,1,0
L01-V71,0,0,0,0,0,0,0
L01-V72,0,0,0,0,0,0,0
L01-V73,0,0,0,0,0,0,0
L01-V74,0,0,0,0,0,0,0
L01-V75,0,0,0,0,0,0,0
L01-V76,0,0,0,0,0,0,0
L01-V77,0,0,0,0,0,0,0
L01-V78,0,0,0,0,0,0,0
L01-V79,0,0,0,0,0,0,0
L01-V80,0,0,0,0,0,0,0
L01-V81,0,0,0,0,0,0,0
L01-V82,0,0,0,0,0,0,0
L01-V83,0,0,0,0,0,0,0
L01-V84,0,0,0,0,0,0,0
L01-V85,0,0,0,0,0,0,0
L01-V86,0,0,0,0,0,0,0
L01-V87,0,0,0,0,0,0,0
L01-V88,0,0,0,0,0,0,0
L01-V89,0,0,0,0,0,0,0
L01-V90,0,0,0,0,0,0,0
L01-V91,0,0,0,0,0,0,0
L01-V92,0,0,0,0,0,0,0
L01-V93,0,0,0,0,0,0,0
L01-V94,0,0,0,0,0,0,0
L01-V95,0,0,0,0,0,0,0
L01-V96,0,0,0,0,0,0,0
L01-V97,1,1,0,1,1,1,0
L01-V98,0,0,1,0,0,0,0
L01-V99,0,0,0,0,0,0,0
L01-V100,0,0,0,0,0,0,0
L01-V101,1,1,1,1,1,1,0
L01-V102,1,1,1,1,1,1,0
L01-V103,0,0,0,0,0,0,0
L01-V104,0,0,0,0,0,0,0
L01-V105,1,1,0,1,1,1,0
L01-V106,0,0,1,0,0,0,0
L01-V107,0,0,0,0,0,0,0
L01-V108,0,0,0,0,0,0,0
L01-V109,1,1,1,1,1,1,0
L01-V110,1,1,1,1,1,1,0
L01-V111,0,0,0,0,0,0,0

L02-Time,0.00,1.00,0.70,0.00,0.00,0.00,0.00
L02-V01,0,1,1,0,0,0,0
L02-V02,0,1,1,0,0,0,0
L02-V03,0,1,1,0,0,0,0
L02-V04,0,1,1,0,0,0,0
L02-V05,0,1,1,0,0,0,0
L02-V06,0,1,1,0,0,0,0
L02-V07,0,0,0,0,0,0,0
L02-V08,0,0,0,0,0,0,0
L02-V09,0,0,0,0,0,0,0
L02-V10,0,0,0,0,0,0,0
L02-V11,0,0,0,0,0,0,0
L02-V12,0,1,1,0,0,0,0
L02-V13,0,1,1,0,0,0,0
L02-V14,0,0,0,0,0,0,0
L02-V15,0,1,1,0,0,0,0
L02-V16,0,0,0,0,0,0,0
L02-V17,0,1,1,0,0,0,0
L02-V18,0,0,0,0,0,0,0
L02-V19,0,0,0,0,0,0,0
L02-V20,0,1,1,0,0,0,0
L02-V21,0,1,1,0,0,0,0
L02-V22,0,1,1,0,0,0,0
L02-V23,0,1,1,0,0,0,0
L02-V24,0,0,0,0,0,0,0
L02-V25,0,0,0,0,0,0,0
L02-V26,0,0,0,0,0,0,0
L02-V27,0,0,0,0,0,0,0
L02-V28,0,0,0,0,0,0,0
L02-V29,0,0,0,0,0,0,0
L02-V30,0,0,0,0,0,0,0
L02-V31,0,0,0,0,0,0,0
L02-V32,0,0,0,0,0,0,0
L02-V33,0,0,0,0,0,0,0
L02-V34,0,0,0,0,0,0,0
L02-V35,0,0,0,0,0,0,0
L02-V36,0,0,0,0,0,0,0
L02-V37,0,0,0,0,0,0,0
L02-V38,0,0,0,0,0,0,0
L02-V39,0,0,0,0,0,0,0
L02-V40,0,0,0,0,0,0,0
L02-V41,0,0,0,0,0,0,0
L02-V42,0,0,0,0,0,0,0
L02-V43,0,0,0,0,0,0,0
L02-V44,0,0,0,0,0,0,0
L02-V45,0,0,0,0,0,0,0
L02-V46,0,0,0,0,0,0,0
L02-V47,0,0,0,0,0,0,0
L02-V48,0,0,0,0,0,0,0
L02-V49,0,1,1,0,0,0,0
L02-V50,0,1,1,0,0,0,0
L02-V51,0,0,0,0,0,0,0
L02-V52,0,0,0,0,0,0,0
L02-V53,0,0,0,0,0,0,0
L02-V54,0,0,0,0,0,0,0
L02-V55,0,0,0,0,0,0,0
L02-V56,0,1,1,0,0,0,0
L02-V57,0,1,1,0,0,0,0
L02-V58,0,1,1,0,0,0,0
L02-V59,0,1,1,0,0,0,0
L02-V60,0,1,1,0,0,0,0
L02-V61,0,1,1,0,0,0,0
L02-V62,0,1,1,0,0,0,0
L02-V63,0,1,1,0,0,0,0
L02-V64,0,1,1,0,0,0,0
L02-V65,0,1,1,0,0,0,0
L02-V66,0,0,0,0,0,0,0
L02-V67,0,0,0,0,0,0,0
L02-V68,0,0,0,0,0,0,0
L02-V69,0,0,0,0,0,0,0
L02-V70,0,1,1,0,0,0,0
L02-V71,0,0,0,0,0,0,0
L02-V72,0,0,0,0,0,0,0
L02-V73,0,0,0,0,0,0,0
L02-V74,0,0,0,0,0,0,0
L02-V75,0,0,0,0,0,0,0
L02-V76,0,0,0,0,0,0,0
L02-V77,0,0,0,0,0,0,0
L02-V78,0,0,0,0,0,0,0
L02-V79,0,0,0,0,0,0,0
L02-V80,0,0,0,0,0,0,0
L02-V81,0,0,0,0,0,0,0
L02-V82,0,0,0,0,0,0,0
L02-V83,0,0,0,0,0,0,0
L02-V84,0,0,0,0,0,0,0
L02-V85,0,0,0,0,0,0,0
L02-V86,0,0,0,0,0,0,0
L02-V87,0,0,0,0,0,0,0
L02-V88,0,0,0,0,0,0,0
L02-V89,0,0,0,0,0,0,0
L02-V90,0,0,0,0,0,0,0
L02-V91,0,0,0,0,0,0,0
L02-V92,0,0,0,0,0,0,0
L02-V93,0,0,0,0,0,0,0
L02-V94,0,0,0,0,0,0,0
L02-V95,0,0,0,0,0,0,0
L02-V96,0,0,0,0,0,0,0
L02-V97,0,0,1,0,0,0,0
L02-V98,0,1,0,0,0,0,0
L02-V99,0,0,0,0,0,0,0
L02-V100,0,0,0,0,0,0,0
L02-V101,0,1,1,0,0,0,0
L02-V102,0,1,1,0,0,0,0
L02-V103,0,0,0,0,0,0,0
L02-V104,0,0,0,0,0,0,0
L02-V105,0,0,1,0,0,0,0
L02-V106,0,1,0,0,0,0,0
L02-V107,0,0,0,0,0,0,0
L02-V108,0,0,0,0,0,0,0
L02-V109,0,1,1,0,0,0,0
L02-V110,0,1,1,0,0,0,0
L02-V111,0,0,0,0,0,0,0

L03-Time,0.00,0.00,0.23,0.00,0.00,0.00,0.00
